Index,Försäljningspris,Säljare,Bränsle,Växellåda,Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Motorstorlek,Datum_i_trafik,Märke,Modell
1,"259,000 kr",Företag,Bensin,Automat,"  9,985 ",2019,Kombi,Tvåhjulsdriven,192,Grå,1969,6/12/2018,Volvo,V90
2,"289,000 kr",Företag,Bensin,Automat,"  9,400 ",2019,SUV,Fyrhjulsdriven,191,Grå (Osmium Grå Metallic ),1969,19/6/2019,Volvo,XC40
3,"17,000 kr",Privat,Bensin,Manuell,"  43,000 ",2004,,Tvåhjulsdriven,141,Röd,2435,25/6/2003,Volvo,V70
4,"28,900 kr",Företag,Bensin,Manuell,"  20,798 ",2004,Sedan,Tvåhjulsdriven,141,Ljusgrå (Grå),2435,9/5/2003,Volvo,S60
5,"61,997 kr",Privat,Bensin,Automat,"  2,840 ",2022,SUV,Tvåhjulsdriven,130,Svart,1477,2/6/2022,Volvo,XC40
6,"15,000 kr",Privat,Bensin,Manuell,"  22,521 ",2004,Kombi,Tvåhjulsdriven,164,Grå,1948,24/6/2003,Volvo,V40
7,"227,300 kr",Företag,Bensin,Automat,"  15,837 ",2018,Kombi,Tvåhjulsdriven,255,Svart,1969,1/9/2017,Volvo,V90
8,"119,900 kr",Företag,Bensin,Manuell,"  15,839 ",2015,Halvkombi,Tvåhjulsdriven,120,Vit,1596,8/9/2014,Volvo,V40
9,"12,000 kr",Privat,Bensin,Manuell,"  28,857 ",1998,,Tvåhjulsdriven,145,Blå,2435,22/8/1997,Volvo,V70
10,"334,900 kr",Företag,Bensin,Automat,"  5,062 ",2020,SUV,Tvåhjulsdriven,253,Vit,1969,24/7/2019,Volvo,XC60
11,"319,900 kr",Företag,Bensin,Automat,"  4,960 ",2021,Kombi,Tvåhjulsdriven,200,Vit,1969,25/11/2020,Volvo,V60
12,"344,900 kr",Företag,Bensin,Automat,"  3,100 ",2021,SUV,Tvåhjulsdriven,131,Röd,1477,1/3/2021,Volvo,XC40
13,"509,000 kr",Företag,Diesel,Automat,"  17,282 ",2021,SUV,Fyrhjulsdriven,238,Svart,1969,11/2/2021,Volvo,XC90
14,"264,500 kr",Företag,Diesel,Automat,"  9,650 ",2020,Kombi,Tvåhjulsdriven,192,Silver,1969,26/3/2020,Volvo,V90
15,"394,500 kr",Företag,Diesel,Automat,"  4,046 ",2023,SUV,Tvåhjulsdriven,200,Svart,1969,22/12/2022,Volvo,XC60
16,"379,500 kr",Företag,Diesel,Automat,"  11,984 ",2022,SUV,Fyrhjulsdriven,200,Svart,1969,9/9/2021,Volvo,V90 Cross Country
17,"229,900 kr",Privat,Diesel,Automat,"  12,460 ",2016,Kombi,Tvåhjulsdriven,200,Svart,1969,4/4/2016,Volvo,V70
18,"217,900 kr",Företag,Diesel,Automat,"  7,485 ",2018,Coupé,Tvåhjulsdriven,191,Vit,1969,17/11/2017,Volvo,V60
19,"185,000 kr",Privat,Diesel,Automat,"  11,607 ",2018,Kombi,Tvåhjulsdriven,150,Svart,1969,2/2/2018,Volvo,V90
20,"29,500 kr",Privat,Diesel,Automat,"  61,900 ",2013,Kombi,Tvåhjulsdriven,116,Vit,1560,23/10/2012,Volvo,V70
21,"33,500 kr",Privat,Diesel,Manuell,"  23,460 ",2006,Kombi,Tvåhjulsdriven,136,Grå,1997,28/7/2005,Volvo,V50
22,"65,000 kr",Privat,Diesel,Manuell,"  21,300 ",2011,Kombi,Tvåhjulsdriven,116,Röd,1560,20/12/2010,Volvo,V50
23,"44,000 kr",Privat,Diesel,Manuell,"  29,860 ",2008,Kombi,Tvåhjulsdriven,136,Brun,1997,28/12/2007,Volvo,V70
24,"53,000 kr",Privat,Diesel,Manuell,"  23,400 ",2011,Kombi,Tvåhjulsdriven,109,Brun,1560,9/8/2010,Volvo,V70
25,"629,000 kr",Företag,El,Automat,  138 ,2024,SUV,Fyrhjulsdriven,414,Vit,,1/9/2023,Volvo,XC40
26,"559,900 kr",Företag,El,Automat,  -   ,2024,SUV,Tvåhjulsdriven,275,Svart,,,Volvo,EX30
27,"559,900 kr",Företag,El,Automat,  -   ,2024,SUV,Tvåhjulsdriven,275,Vit,,,Volvo,EX30
28,"619,900 kr",Företag,El,Automat,  508 ,2024,SUV,Fyrhjulsdriven,414,Grå,,23/8/2023,Volvo,XC40
29,"449,900 kr",Företag,El,Automat,"  1,962 ",2023,SUV,Tvåhjulsdriven,234,Ljusgrå (Grå),,20/10/2022,Volvo,XC40
30,"449,900 kr",Företag,El,Automat,"  2,276 ",2023,SUV,Tvåhjulsdriven,234,Svart,,24/10/2022,Volvo,C40
31,"419,900 kr",Företag,El,Automat,"  5,093 ",2023,SUV,Tvåhjulsdriven,234,Svart,,23/11/2022,Volvo,XC40
32,"469,900 kr",Företag,El,Automat,"  2,682 ",2022,SUV,Fyrhjulsdriven,414,Blå,,28/3/2022,Volvo,C40
33,"459,900 kr",Företag,El,Automat,"  4,258 ",2021,SUV,Fyrhjulsdriven,414,Blå,,11/3/2021,Volvo,XC40
34,"439,900 kr",Företag,El,Automat,"  5,760 ",2021,SUV,Fyrhjulsdriven,414,Grå,,11/3/2021,Volvo,XC40
35,"599,900 kr",Företag,El,Automat,  501 ,2024,SUV,Tvåhjulsdriven,256,Blå,,15/9/2023,Volvo,XC40
36,"549,900 kr",Företag,El,Automat,  221 ,2024,SUV,Tvåhjulsdriven,256,Silver,,6/9/2023,Volvo,XC40
37,"479,900 kr",Företag,El,Automat,"  1,051 ",2023,SUV,Tvåhjulsdriven,234,Silver,,31/3/2023,Volvo,XC40
38,"359,000 kr",Företag,Miljöbränsle/Hybrid,Automat,"  12,900 ",2018,SUV,Fyrhjulsdriven,408,Vit,1969,13/4/2018,Volvo,XC60
39,"389,800 kr",Företag,Miljöbränsle/Hybrid,Automat,"  7,445 ",2020,Kombi,Fyrhjulsdriven,391,Grå,1969,17/7/2019,Volvo,V90
40,"404,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  7,583 ",2019,SUV,Fyrhjulsdriven,391,Röd,1969,18/3/2019,Volvo,XC60
41,"324,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,201 ",2020,Kombi,Fyrhjulsdriven,304,Grå (Savile Grey Metallic),1969,21/1/2020,Volvo,V90
42,"32,000 kr",Privat,Miljöbränsle/Hybrid,Manuell,"  22,698 ",2009,Kombi,Tvåhjulsdriven,126,Blå,1798,30/3/2009,Volvo,V50
43,"439,500 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,596 ",2020,SUV,Fyrhjulsdriven,396,Svart,1969,5/8/2020,Volvo,XC60
44,"493,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,351 ",2018,SUV,Fyrhjulsdriven,407,Vit,1969,29/12/2017,Volvo,XC90
45,"442,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  3,423 ",2022,SUV,Tvåhjulsdriven,262,Svart,1477,5/11/2021,Volvo,XC40
46,"359,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  6,608 ",2022,SUV,Tvåhjulsdriven,211,Svart,1477,15/7/2021,Volvo,XC40
47,"189,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  16,021 ",2014,Kombi,Fyrhjulsdriven,283,Vit,2400,6/2/2014,Volvo,V60
48,"368,800 kr",Företag,Miljöbränsle/Hybrid,Automat,"  11,778 ",2018,SUV,Fyrhjulsdriven,408,Ljusbrun (Lbrun),1969,30/4/2018,Volvo,XC60
49,"424,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  9,100 ",2021,SUV,Fyrhjulsdriven,304,Svart,1969,15/2/2021,Volvo,XC60
50,"109,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  25,498 ",2014,Kombi,Tvåhjulsdriven,214,Grå,1984,4/10/2013,Volvo,V70
51,"169,800 kr",Företag,Diesel,Automat,"  9,000 ",2016,Halvkombi,Tvåhjulsdriven,120,Svart,1969,29/2/2016,Volvo,V40
52,"349,900 kr",Företag,Diesel,Automat,"  6,814 ",2022,Kombi,Fyrhjulsdriven,200,Grå,1969,1/9/2021,Volvo,V60 Cross Country
53,"289,900 kr",Företag,Diesel,Automat,"  12,021 ",2021,Kombi,Tvåhjulsdriven,200,Vit,1969,31/3/2021,Volvo,V90
54,"369,900 kr",Företag,Diesel,Automat,"  7,053 ",2021,SUV,Fyrhjulsdriven,200,Mörkgrå (Grå),1969,5/3/2021,Volvo,XC60
55,"219,000 kr",Privat,Diesel,Automat,"  17,173 ",2016,Kombi,Fyrhjulsdriven,181,Silver,2400,20/5/2016,Volvo,XC70
56,"359,100 kr",Företag,Diesel,Automat,"  2,163 ",2023,Kombi,Tvåhjulsdriven,200,Silver,1969,12/1/2023,Volvo,V60
57,"339,900 kr",Företag,Diesel,Automat,"  8,848 ",2021,Kombi,Fyrhjulsdriven,200,Vit,1969,18/12/2020,Volvo,V90
58,"289,000 kr",Företag,Diesel,Automat,"  12,783 ",2021,Kombi,Fyrhjulsdriven,200,Svart,1969,25/3/2021,Volvo,V60 Cross Country
59,"579,000 kr",Företag,Diesel,Automat,"  8,948 ",2021,SUV,Fyrhjulsdriven,238,Grå,1969,16/10/2020,Volvo,XC90
60,"359,900 kr",Företag,Diesel,Automat,"  10,064 ",2021,SUV,Fyrhjulsdriven,200,Vit,1969,17/12/2020,Volvo,V90 Cross Country
61,"194,800 kr",Företag,Diesel,Automat,"  19,629 ",2019,Kombi,Fyrhjulsdriven,151,Vit,1969,20/12/2018,Volvo,V60
62,"559,000 kr",Företag,Diesel,Automat,"  11,979 ",2021,SUV,Fyrhjulsdriven,238,Mörkblå (Blå),1969,15/3/2021,Volvo,XC90
63,"299,900 kr",Företag,Diesel,Automat,"  9,459 ",2020,Kombi,Fyrhjulsdriven,192,Vit,1969,18/3/2020,Volvo,V90
64,"225,000 kr",Privat,Diesel,Automat,"  12,999 ",2018,Sedan,Tvåhjulsdriven,150,Svart,1969,2/5/2018,Volvo,S90
65,"219,800 kr",Företag,Diesel,Automat,"  6,963 ",2018,Kombi,Tvåhjulsdriven,150,Grå,1969,29/6/2018,Volvo,V60
66,"189,800 kr",Företag,Diesel,Automat,"  12,290 ",2016,Kombi,Tvåhjulsdriven,181,Brun,1969,28/6/2016,Volvo,V70
67,"189,800 kr",Företag,Diesel,Automat,"  18,427 ",2018,Kombi,Tvåhjulsdriven,150,Vit,1969,13/2/2018,Volvo,V90
68,"199,800 kr",Företag,Diesel,Automat,"  12,861 ",2014,Kombi,Tvåhjulsdriven,181,Vit,1969,6/5/2014,Volvo,V70
69,"129,800 kr",Företag,Diesel,Manuell,"  15,758 ",2015,Kombi,Tvåhjulsdriven,116,Vit,1560,4/9/2014,Volvo,V70
70,"335,000 kr",Privat,Diesel,Automat,"  16,533 ",2016,SUV,Fyrhjulsdriven,225,Vit,1969,13/7/2015,Volvo,XC90
71,"128,900 kr",Företag,Diesel,Manuell,"  14,679 ",2015,Halvkombi,Tvåhjulsdriven,116,Svart,1560,27/6/2014,Volvo,V40
72,"159,999 kr",Privat,Diesel,Manuell,"  22,900 ",2018,Sedan,Tvåhjulsdriven,150,Silver,1969,11/12/2017,Volvo,S90
73,"219,800 kr",Företag,Diesel,Automat,"  21,542 ",2017,Kombi,Fyrhjulsdriven,221,Vit (Ice Vit),2400,9/11/2017,Volvo,XC60
74,"230,000 kr",Privat,Diesel,Automat,"  7,500 ",2019,Kombi,Tvåhjulsdriven,150,Vit,1969,27/12/2018,Volvo,V60
75,"104,900 kr",Företag,Diesel,Automat,"  22,398 ",2009,SUV,Fyrhjulsdriven,185,Silver,2400,22/9/2008,Volvo,XC90
76,"213,900 kr",Företag,Diesel,Automat,"  10,121 ",2016,Kombi,Fyrhjulsdriven,191,Brun,2400,21/1/2016,Volvo,V60 Cross Country
77,"199,900 kr",Företag,Diesel,Automat,"  19,635 ",2014,SUV,Fyrhjulsdriven,215,Röd,2400,20/9/2013,Volvo,XC60
78,"178,900 kr",Företag,Diesel,Automat,"  10,714 ",2017,Halvkombi,Tvåhjulsdriven,120,Svart,1969,12/1/2017,Volvo,V40
79,"159,900 kr",Företag,Diesel,Automat,"  15,100 ",2017,Kombi,Tvåhjulsdriven,191,Grå,1969,2/12/2016,Volvo,V60
80,"254,800 kr",Företag,Diesel,Automat,"  8,200 ",2020,Kombi,Tvåhjulsdriven,191,Vit,1969,29/1/2020,Volvo,V60
81,"154,900 kr",Företag,Diesel,Manuell,"  16,700 ",2016,Kombi,Tvåhjulsdriven,150,Vit,1969,4/8/2015,Volvo,V60 Cross Country
82,"289,500 kr",Företag,Diesel,Automat,"  9,280 ",2021,Kombi,Tvåhjulsdriven,191,Vit,1969,1/9/2020,Volvo,V90
83,"174,900 kr",Företag,Diesel,Automat,"  17,500 ",2016,SUV,Tvåhjulsdriven,191,Brun (Brown),1969,18/6/2015,Volvo,V60 Cross Country
84,"69,900 kr",Företag,Diesel,Manuell,"  15,440 ",2010,Kombi,Tvåhjulsdriven,109,Ljusgrå (Grå),1560,21/9/2009,Volvo,V50
85,"109,900 kr",Företag,Diesel,Automat,"  20,410 ",2012,Kombi,Tvåhjulsdriven,116,Svart,1560,1/6/2012,Volvo,V70
86,"159,800 kr",Företag,Diesel,Manuell,"  14,300 ",2015,Halvkombi,Tvåhjulsdriven,191,Vit,1969,2/9/2014,Volvo,V40
87,"149,800 kr",Företag,Diesel,Automat,"  11,701 ",2013,Sedan,Tvåhjulsdriven,136,Svart,1984,25/3/2013,Volvo,S60
88,"209,800 kr",Företag,Diesel,Automat,"  11,322 ",2018,Halvkombi,Tvåhjulsdriven,120,Svart,1969,27/7/2017,Volvo,V40
89,"139,900 kr",Företag,Diesel,Manuell,"  10,900 ",2014,Kombi,Tvåhjulsdriven,115,Blå,1560,30/8/2013,Volvo,V60
90,"229,800 kr",Företag,Diesel,Automat,"  8,225 ",2017,Halvkombi,Tvåhjulsdriven,150,Vit,1969,5/9/2016,Volvo,V40 Cross Country
91,"249,800 kr",Företag,Diesel,Automat,"  10,658 ",2019,SUV,Tvåhjulsdriven,150,Grå,1969,8/4/2019,Volvo,XC40
92,"179,800 kr",Företag,Diesel,Automat,"  16,551 ",2016,Kombi,Tvåhjulsdriven,150,Silver,1969,2/9/2015,Volvo,V70
93,"79,900 kr",Privat,Diesel,Manuell,"  18,640 ",2012,Sedan,Tvåhjulsdriven,116,Grå,1560,21/12/2011,Volvo,S60
94,"9,500 kr",Privat,Diesel,Automat,"  39,112 ",2006,Kombi,Tvåhjulsdriven,185,Grå,2400,24/5/2006,Volvo,V70
95,"168,000 kr",Privat,Diesel,Automat,"  12,200 ",2015,Kombi,Tvåhjulsdriven,181,Svart,1969,4/12/2014,Volvo,V60
96,"62,000 kr",Privat,Diesel,Automat,"  35,881 ",2010,Kombi,Fyrhjulsdriven,206,Röd,2400,10/12/2009,Volvo,XC70
97,"209,900 kr",Företag,Diesel,Automat,"  9,927 ",2014,Kombi,Fyrhjulsdriven,181,Röd,2400,14/4/2014,Volvo,V70
98,"98,800 kr",Företag,Diesel,Automat,"  33,015 ",2011,Kombi,Fyrhjulsdriven,206,Ljusbrun (Lbrun),2400,9/8/2010,Volvo,XC70
99,"299,900 kr",Företag,Diesel,Automat,"  13,225 ",2017,Kombi,Fyrhjulsdriven,236,Silver,1969,14/9/2016,Volvo,V90
100,"198,900 kr",Företag,Diesel,Automat,"  6,700 ",2017,Halvkombi,Tvåhjulsdriven,120,Vit,1969,7/3/2017,Volvo,V40 Cross Country
101,"219,800 kr",Företag,Bensin,Automat,"  6,845 ",2015,Halvkombi,Fyrhjulsdriven,180,Vit,1984,5/6/2014,Volvo,V40 Cross Country
102,"42,000 kr",Privat,Bensin,Manuell,"  23,892 ",2004,Kombi,Tvåhjulsdriven,141,Vit,2435,12/12/2003,Volvo,V70
103,"11,000 kr",Privat,Bensin,Automat,"  28,863 ",1997,Sedan,Tvåhjulsdriven,170,Röd,2435,16/5/1997,Volvo,S70
104,"279,800 kr",Företag,Bensin,Automat,"  13,560 ",2018,Sedan,Tvåhjulsdriven,262,Grå,1969,28/12/2017,Volvo,S90
105,"144,900 kr",Företag,Bensin,Manuell,"  10,555 ",2015,Halvkombi,Tvåhjulsdriven,120,Silver,1596,14/4/2015,Volvo,V40
106,"277,000 kr",Företag,Bensin,Automat,"  10,770 ",2019,Kombi,Fyrhjulsdriven,310,Vit,1969,28/6/2018,Volvo,V60
107,"262,000 kr",Företag,Bensin,Automat,"  7,589 ",2019,Kombi,Tvåhjulsdriven,214,Svart,1969,23/1/2019,Volvo,V90
108,"329,900 kr",Företag,Bensin,Automat,"  8,998 ",2020,SUV,Tvåhjulsdriven,251,Svart,1969,25/2/2020,Volvo,XC60
109,"373,000 kr",Företag,Bensin,Automat,"  2,606 ",2023,Kombi,Tvåhjulsdriven,200,Grå,1969,2/3/2023,Volvo,V60
110,"299,500 kr",Företag,Bensin,Automat,"  4,841 ",2021,SUV,Tvåhjulsdriven,131,Svart,1477,27/11/2020,Volvo,XC40
111,"39,900 kr",Företag,Bensin,Automat,"  26,999 ",2005,Kombi,Fyrhjulsdriven,221,Svart,2521,15/4/2005,Volvo,V50
112,"25,000 kr",Privat,Bensin,Manuell,"  43,657 ",1989,Sedan,Tvåhjulsdriven,116,Grå,2316,18/4/1989,Volvo,740
113,"6,000 kr",Privat,Bensin,Manuell,"  27,027 ",1993,Sedan,Tvåhjulsdriven,141,Röd,2435,22/10/1992,Volvo,850
114,"14,900 kr",Företag,Bensin,Manuell,"  25,000 ",2005,Sedan,Tvåhjulsdriven,141,Svart,2435,22/2/2005,Volvo,S40
115,"17,000 kr",Privat,Bensin,Automat,"  23,285 ",2003,Sedan,Tvåhjulsdriven,200,Grå,2435,10/2/2003,Volvo,S80
116,"265,900 kr",Företag,Bensin,Automat,"  10,350 ",2020,Sedan,Tvåhjulsdriven,191,Mörkgrå (Grå),1969,30/3/2020,Volvo,S60
117,"329,800 kr",Företag,Bensin,Automat,"  13,601 ",2019,SUV,Fyrhjulsdriven,253,Mörkblå (Blå),1969,23/10/2018,Volvo,V90 Cross Country
118,"269,000 kr",Företag,Bensin,Automat,"  6,228 ",2018,Sedan,Tvåhjulsdriven,192,Grå,1969,30/8/2018,Volvo,S90
119,"609,000 kr",Företag,Bensin,Automat,  -   ,2024,SUV,Fyrhjulsdriven,253,Silver,1969,,Volvo,V90 Cross Country
120,"259,000 kr",Företag,Bensin,Automat,"  9,985 ",2019,Kombi,Tvåhjulsdriven,192,Grå,1969,6/12/2018,Volvo,V90
121,"289,000 kr",Företag,Bensin,Automat,"  9,400 ",2019,SUV,Fyrhjulsdriven,191,Grå (Osmium Grå Metallic ),1969,19/6/2019,Volvo,XC40
122,"28,900 kr",Företag,Bensin,Manuell,"  20,798 ",2004,Sedan,Tvåhjulsdriven,141,Ljusgrå (Grå),2435,9/5/2003,Volvo,S60
123,"15,000 kr",Privat,Bensin,Manuell,"  22,521 ",2004,Kombi,Tvåhjulsdriven,164,Grå,1948,24/6/2003,Volvo,V40
124,"227,300 kr",Företag,Bensin,Automat,"  15,837 ",2018,Kombi,Tvåhjulsdriven,255,Svart,1969,1/9/2017,Volvo,V90
125,"119,900 kr",Företag,Bensin,Manuell,"  15,839 ",2015,Halvkombi,Tvåhjulsdriven,120,Vit,1596,8/9/2014,Volvo,V40
126,"334,900 kr",Företag,Bensin,Automat,"  5,062 ",2020,SUV,Tvåhjulsdriven,253,Vit,1969,24/7/2019,Volvo,XC60
127,"319,900 kr",Företag,Bensin,Automat,"  4,960 ",2021,Kombi,Tvåhjulsdriven,200,Vit,1969,25/11/2020,Volvo,V60
128,"344,900 kr",Företag,Bensin,Automat,"  3,100 ",2021,SUV,Tvåhjulsdriven,131,Röd,1477,1/3/2021,Volvo,XC40
129,"29,900 kr",Företag,Bensin,Manuell,"  27,800 ",2004,Kombi,Tvåhjulsdriven,164,Blå,1948,24/3/2003,Volvo,V40
130,"39,900 kr",Företag,Bensin,Manuell,"  22,890 ",2003,Sedan,Tvåhjulsdriven,123,Silver,,8/1/2009,Volvo,S40
131,"40,000 kr",Privat,Bensin,Automat,"  28,400 ",2008,Kombi,Tvåhjulsdriven,170,Grå,2435,17/10/2007,Volvo,V70
132,"129,800 kr",Företag,Bensin,Manuell,"  15,000 ",2014,Kombi,Tvåhjulsdriven,150,Blå,1596,27/10/2013,Volvo,V60
133,"29,900 kr",Företag,Bensin,Manuell,"  26,000 ",2001,Kombi,Tvåhjulsdriven,141,Mörkgrön (Grön),,7/6/2001,Volvo,V70
134,"42,900 kr",Företag,Bensin,Automat,"  23,750 ",2004,Kombi,Tvåhjulsdriven,170,Blå,2435,13/5/2004,Volvo,V50
135,"269,800 kr",Företag,Bensin,Automat,"  13,559 ",2018,Sedan,Tvåhjulsdriven,255,Svart (Onyx Svart Metallic),1969,10/1/2018,Volvo,S90
136,"29,000 kr",Företag,Bensin,Manuell,"  23,330 ",2004,Sedan,Tvåhjulsdriven,141,Ljusgrön (Ljusgul Metallic),2435,26/3/2004,Volvo,S40
137,"509,900 kr",Företag,Bensin,Automat,"  6,544 ",2020,SUV,Fyrhjulsdriven,251,Vit,1969,2/10/2019,Volvo,XC90
138,"319,000 kr",Företag,Bensin,Automat,"  10,750 ",2018,Sedan,Tvåhjulsdriven,255,Silver,1969,20/12/2017,Volvo,S90
139,"5,000 kr",Privat,Bensin,Automat,"  41,135 ",2003,Kombi,Tvåhjulsdriven,141,Vit,2435,2/10/2002,Volvo,V70
140,"284,000 kr",Företag,Bensin,Automat,"  3,449 ",2021,SUV,Tvåhjulsdriven,131,Svart,1477,31/3/2021,Volvo,XC40
141,"24,900 kr",Företag,Bensin,Manuell,"  31,135 ",2007,Sedan,Tvåhjulsdriven,141,Ljusgrå (Grå),2435,2/11/2006,Volvo,S60
142,"21,500 kr",Privat,Bensin,Manuell,"  20,700 ",2004,Kombi,Tvåhjulsdriven,141,Röd,2435,4/8/2004,Volvo,V50
143,"230,000 kr",Företag,Bensin,Automat,"  20,938 ",2018,Kombi,Tvåhjulsdriven,255,Svart,1969,24/10/2017,Volvo,V90
144,"32,000 kr",Privat,Bensin,Automat,"  31,919 ",2002,Kombi,Fyrhjulsdriven,200,Blå,2435,17/1/2002,Volvo,XC70
145,"2,000 kr",Privat,Bensin,Manuell,"  30,894 ",2002,Kombi,Tvåhjulsdriven,200,Grå,2435,6/12/2001,Volvo,V70
146,"275,000 kr",Företag,Bensin,Automat,"  5,687 ",2021,SUV,Tvåhjulsdriven,130,Vit,1477,26/10/2020,Volvo,XC40
147,"350,000 kr",Företag,Bensin,Automat,"  7,268 ",2021,SUV,Fyrhjulsdriven,253,Mörkblå (Mblå),1969,1/3/2021,Volvo,XC60
148,"149,800 kr",Företag,Bensin,Manuell,"  14,603 ",2013,Sedan,Tvåhjulsdriven,241,Svart,1999,10/7/2012,Volvo,S60
149,"27,900 kr",Privat,Bensin,Manuell,"  24,354 ",2006,Kombi,Tvåhjulsdriven,126,Vit,1798,8/9/2005,Volvo,V50
150,"16,999 kr",Privat,Bensin,Manuell,"  20,844 ",2001,Sedan,Tvåhjulsdriven,109,Brun,1587,4/8/2000,Volvo,S40
151,"429,800 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,830 ",2021,Kombi,Fyrhjulsdriven,304,Svart,1969 ,16/2/2021,Volvo,V90
152,"499,000 kr",Företag,Miljöbränsle/Hybrid,Automat,"  9,288 ",2021,SUV,Fyrhjulsdriven,396,Grå,1969 ,19/2/2021,Volvo,XC60
153,"599,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  5,983 ",2021,SUV,Fyrhjulsdriven,396,Svart,1969 ,26/3/2021,Volvo,XC90
154,"389,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  11,267 ",2020,SUV,Fyrhjulsdriven,396,Vit,1969 ,17/1/2020,Volvo,XC60
155,"355,000 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,176 ",2020,Kombi,Fyrhjulsdriven,398,Vit,1969 ,30/3/2020,Volvo,V60
156,"689,900 kr",Företag,Miljöbränsle/Hybrid,Automat,  2 ,2023,Sedan,Fyrhjulsdriven,463,Svart,1969 ,7/8/2023,Volvo,S90
157,"359,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,269 ",2021,SUV,Tvåhjulsdriven,266,Svart,1477 ,31/8/2020,Volvo,XC40
158,"409,000 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,318 ",2021,SUV,Fyrhjulsdriven,344,Ljusbrun (Brun),1969 ,20/8/2020,Volvo,XC60
159,"329,000 kr",Företag,Miljöbränsle/Hybrid,Automat,"  8,045 ",2020,Kombi,Fyrhjulsdriven,344,Svart,1969 ,10/1/2020,Volvo,V60
